Column A,Column B
"BLKD","Poison13"
"Apekz","Asser"
"Lanzeta","Sixth Threat"
"Lhipkram","G-Clown"
"Plazma","Invictus"
"Numerhus","LilWeng"
"Batas","Sak Maestro"
"Apekz","Hazky"
"Sayadd","Lanzeta"
"Goriong Talas","G-Clown"
"Pistolero","Luxuria"
"Flipzydot1","Doc Pau"
"Yuniko","Duma"
"Shernan","Range"
"BLKD","Marshall Bonifacio"
"Lhipkram","J-Blaque"
"Jonas","Asser"
"J-King","Martin"
"Chris Ace","GI"
"GL","Pen Pluma"
"Aelekz","Makii"
"Jahmen J","Castillo"
"Cloud9","Paktisoy"
"LilStrocks","Jorer"
"Ares","Acid"
"Renzaurus","Arma"
"Climax","Gustav"
"Sinio","Nikki"
"Poison13","Dosage"
"Sixth Threat","Rudic"
"Fukuda","Tatz Maven"
"Zero Hour","Emar Industriya"
"Mardszen","Onlison"
"N-Flowinz","Zend Luke"
"Maxford","Stiff"
"Zucchetto","Classico"
"Plaridhel","JR Zero"
"Gameboy","Sael"
"Resiak","Placz"
"Scars","Supremo"
"LilWeng","Yuniko"
"Luxuria","Bagsik"
"Vitrum","Illtimate"
"Numerhus","Mastafeat"
"Youngone","SirDeo"
"Cricket","Bonet"
"SlockOne","Duma"
"CNine","JDee"
"Crispy Fetus","OG Ulo"
"One Lie Ace","K-Ram"
"Lemi","C-Quence"
"Shehyee","Pistolero"
"BLKD","LilJohn"
"Fukuda","Goriong Talas"
"Mhot/Sur Henyo","Lhipkram/Jonas"
"Asser","Towpher"
"Marshall Bonifacio","Martin"
"CripLi","Ejo"
"Tipsy D","Sak Maestro"
"Shernan","Lanzeta"
"Zaito","Hazky"
"Tweng","Poison13"
"Damsa","Range"
"Sayadd","Flict-G"
"Kregga","Invictus"
"J-King","Tatz Maven"
"Abra","Pistolero"
"Shehyee","Fukuda"
"BLKD","Damsa"
"Zaito","Flict-G"
"M Zhayt","Poison13"
"Romano","CripLi"
"Towpher","Emar Industriya"
"Batas","Fukuda"
"Abra","Invictus"
"Shehyee","J-King"
"Plazma","Pistolero"
"Apoc","Tipsy D"
"Shernan","Hearty"
"Lhipkram","Jonas"
"M Zhayt","Sak Maestro"
"Maxford","Fukuda"
"Nikki","Sayadd"
"Pistolero","Aelekz"
"Tatz Maven","Sixth Threat"
"Rudic","Dosage"
"Snob","Stiff"
"Zaito","Range"
"Invictus","Marshall Bonifacio"
"Asser","Martin"
"LilJohn","Tweng"
"Ejo","Chris Ace"
"J-Blaque","Makii"
"Munchito","GI"
"BLKD","Lanzeta"
"Kregga","Sur Henyo"
"Damsa","Khen Magat"
"Thike","J-Skeelz"
"Frooz","Lhipkram"
"Romano","Poison13"
"Jonas","Hazky"
"Batas","Jonas"
"Abra","Poison13"
"Shehyee","Lhipkram"
"Sayadd","J-King"
"Plazma","Batang Rebelde"
"Mhot","Sur Henyo"
"Invictus","Tatz Maven"
"Thike","Marshall Bonifacio"
"Lhipkram","Sixth Threat"
"Pistolero","Lanzeta"
"Batang Rebelde","Fukuda"
"Ilaya","Emar Industriya"
"Martin","Hazky"
"Zaito","Nikki"
"Damsa","Asser"
"LilJohn","Sayadd"
"Batas","BLKD"
"Sinio/Tipsy D","Shernan/M Zhayt"
"Kregga","Frooz"
"J-King","Poison13"
"Plazma","Romano"
"Jonas","CripLi"
"G-Clown","Towpher"
"J-Skeelz","Khen Magat"
"Frooz","Harlem"
"Lanzeta","Poison13"
"Mocks Wun","Lhipkram"
"Sinio/Tipsy D","Romano/J-King"
"Wrathsol","Kjap"
"Dhuski","Rich Flo"
"Sur Henyo","Fukuda"
"LilJohn","Khen Magat"
"Batang Rebelde","Pistolero"
"Shernan/M Zhayt","Damsa/Flict-G"
"Hazky","Mikidee"
"Range","CripLi"
"Apekz","Mhot"
"Asser","Fukuda"
"Plazma","LilJohn"
"Sinio/Tipsy D","Pricetagg/Kris Delano"
"Romano/J-King","Maxford/Snob"
"Damsa/Flict-G","Dilim/Sibil"
"Jonas","Invictus"
"Batas","Sur Henyo"
"Apekz","Sayadd"
"Goriong Talas","Mhot"
"Shernan/M Zhayt","Crazymix/Bassilyo"
"Jonas/Lhipkram","Dilim/Sibil"
"Frooz","Batang Rebelde"
"Asser","Rudic"
"Fukuda","Sixth Threat"
"BLKD","Kregga"
"Zaito/Andy G","Snob/Maxford"
"LilJohn","Nikki"
"Marshall Bonifacio","Tatz Maven"
"Mardszen","Cedie"
"Frooz","Range"
"Marshall Bonifacio","Chaliz"
"Chris Ace","Munchito"
"Sinio/Tipsy D","Aelekz/Fangs"
"J-Blaque","Vampi"
"Makii","Martin"
"Jecoy","Raizen"
"Zeus","Jamal"
"Frooz","Righteous1"
"Mocks Wun","Poison13"
"LilJohn","Hearty"
"Damsa/Flict-G","Invictus/Lanzeta"
"Romano/J-King","Hazky/Thike"
"Rich Flo","Wrathsol"
"Plazma","Mhot"
"Goriong Talas","Dhuski"
"Apekz","Badang"
"Pricetagg/Kris Delano","Pistolero/Prince Rhyme"
"Crazymix/Bassilyo","CripLi/Towpher"
"Shernan/M Zhayt","Mikidee/Wise Wunn"
"Abaddon","Khen Magat"
"Sayadd","Omar Baliw"
"Batas","Hearty"
"Batang Rebelde","Sur Henyo"
"Shernan","Elbiz"
"EJ Power","Frooz"
"Poison13","Kjap"
"Loonie","Plazma"
"Abra","Damsa"
"Apoc","Apekz"
"Shernan","Lil Sisa"
"J-King","Jonas"
"Badang","Rapido"
"Melchrist","Romano"
"Pistolero","Range"
"Mhot","Fangs"
"Marshall Bonifacio","Lhipkram"
"Mikidee","Sixth Threat"
"Thike","Dello"
"Batas","Pricetagg"
"Shehyee","Sinio"
"Invictus/Lanzeta","CripLi/Towpher"
"Smugglaz","G-Clown"
"Zaito","LilJohn"
"Frooz","Tweng"
"M Zhayt","EJ Power"
"Kregga","Asser"
"Ilaya","Righteous1"
"Tatz Maven","Poison13"
"Loonie","Mark Grist"
"Batas","Badang"
"Rapido","Damsa"
"Melchrist","Pistolero"
"Goriong Talas","Invictus"
"M Zhayt","Jonas"
"Asser","Plazma"
"Makii","Zeus"
"Flict-G","Damsa"
